question,answers
Ki ni iṣẹ ti Chief Bọde Thomas n ṣe ki o to kuro laye ?,Alakoso ile ijọsin afirika ti naijiria.
Ọdun wo s'ọdun wo ni Olúṣẹ́gun Ọ̀ṣọbà jẹ  Gómìnà Ìpínlẹ̀ Ògùn n'ilẹ Naijiria?,Oṣu kini ọdun 1992 titi di oṣu kọkanla ọdun 1993.
Kini ise Lara Fortes nigbati Adams Oshiọmọle fẹ?,Aláwòṣe.
Ọjọ wo ni wọn bi oṣere yoruba Fẹmi Adebayọ?,Ọjọ kinilelọgbọn oṣu kẹjila ọdun 1978.
Kini ounjẹ ti Ogun ma n jẹ?,Awn ajá.
Idile ọba  wo ni Sanusi Lamido ti wa ?,Muhammadu sanusi i.
kiloruko ọbaluaye ti o siwaju Licinius?,Galerius.
Talo kọ́kọ́ de ori osupa?,Neil alden armstrong.
kini iye awọn eniyan nilu India?,1.2 bilionu.
Ọdun wo ni a bi John Forbes Kerry?,Ọdun 1943.
ọdun wo ni orilẹ ede Tanzania kopa ninu bọọlu alafesegba lagbaye kẹyin ?,Ko pegede.
Ọdun wo ni wọn dakẹ lati maa gbe aworan ẹfẹ Samurai Jack jade?,Ọjọ karunlelogun oṣu kẹsan ọdun 2004.
Ta ni aare obirin akọkọ ni ilẹ West Afirika ?,Sirleaf jẹ obirin akọkọ ti wọn yan si ipo olori orilẹ-ede ni afirika.
ṣe ijoba United Kingdom fowosi ikọsile?,Yes.
Ewo ninu awọn obi Adunni Ade ni ki se ọmọ orilẹ-ede Naijiria?,Ìyá.
Igba wo ni Akinwumi Ambọde fẹyinti gẹgẹ bi osisẹ ijọba?,Ògún 2012.
ṣe ile iṣẹ MTN wa ni Tanzania ni 2022?,No.
ṣe ise Ajẹ̀ṣẹ́-gídígbò wa ni orile ede Japan?,Yes.
Ọmọ ipinlẹ wo ni Muyiwa Ademola n ṣe?,Ogun.
Orilẹ-ede wo ni Yahya Jammeh to sa lọ ẹhin odi?,Equatorial guinea.
papa ọkọ oofurufu melo lani ni Naijiria?,32.
Tani ẹgbẹ Alagba Asofin wa ni Israel?,No.
ṣe ọdun 1999 ni MKO Abiola ṣe alaisi?,No.
kini Pascal je ninu eko kọmputa?,Programming language.
Kini akori iwe ti Festus Adedayo ko nipa Ayinla ọmọwura?,Àyìnlá ọmọwúrà: life and times of an àpàlà legend.
Tani ọmọ Kobe Bryant to ku pelu rẹ ninu ijamba ọkọ ofurufu?,Gianna.
ilu wo lo tobijulo ni Dubai?,Dubai.
N jẹ Queen Elizabeth II ni ọmọ akọkọ awọn obi i rẹ?,Bẹẹni.
Igba wo ni wọn da Ajọ to n mojuto ọrọ itankalẹ arun ni Naijiria (NCDC) sile?,2011.
Kọntinẹẹti wo ni Uganda wa?,Africa (ilẹ adulawọ).
Tani baba to bi Benjamin Jeremy?,Herbert stein.
Ọdun wo ni wọn kọkọ gbe iwe 'Rich Dad Poor Dad' jade?,Ọdun 1997.
Ibudo reluwe (train stations) meloo lo wa ni Lọndọn?,Eéjìlá dín ní ọ́rin lélọ́ọ̀dúnrún.
ṣe ilu California ni ibùjóòkó yunifasiti ti North Carolina?,No.
kilorukọ ọkọ akọọkọ ti oṣere Toyin Aimaku ni?,Adeniyi johnson.
Ipinlẹ wo lo tobi julọ l'orilẹ-ede Kanada?,Nunavut.
odun wo ni aarun ebola ti Afrikia bẹrẹ?,2013.
Bawo ni Dele Mọmọdu se sa kuro ni Naijiria nigbati ijoba Abacha fun esun igbiyanju lati ya ẹya kan kuro lara ilẹ Naijiria?,O ṣe bi agbẹ ni aala seme to su mọ cotonu ni orilẹ-ede benin.
"Ọdun wo ni wọn bẹẹrẹ sii n ṣe fiimu ""The Simpsons""?",Ọdun 1987.
Ni gba wo ni cinema agbelewo lati ori fọnran bẹrẹ ni orilẹ ede Naijiria?,Opin 1980.
Ki ni orukọ baba Ọba George ti ilu Gẹẹsi?,King george v.
Ki ni eya to tobi julọ ni Maldives ?,Gan.
"Ta ni oludari ere ""Alakada"" ?",Kayode kasum.
Ki l'orukọ iya to bi olorin Michael Jackson l'ọmọ?,Katherine esther jackson.
Ta lo jẹ oludasilẹ Living Faith Church ni Naijiria ?,David olaniyi oyedepo.
ọdun wo ni wọn bi Dame Helen Lydia Mirren?,Ọdun 1945.
ṣe ale fa hydrogen kemika ninu omi mimu?,Yes.
Njẹ Ipinlẹ Kano ni awọn eniyan ti pọ ju lorilẹ ede Naijiria ?,Bẹẹni.
asiko wo ni ọdun Keresimesi?,Ọjọ 25 oṣu ọpẹ (ọjọ keresimesi) si oṣu ṣẹrẹ.
Ki ni adape orukọ ikọ agbabọọlu Naijiria?,Super eagles.
kòkòrò wo lo ma n fa aarun Kọlera,Vibrio cholerae.
Ipinlẹ wo l'Amerika ni olorin Billie Holiday ti wa?,Pennsylvania.
Tani aarẹ orilede Amerika?,Joe biden.
Igba wo ni Samuel Eto'o di aarẹ ajọ ere bọọlu lorilẹ-ede Kamerun?,11 ọpẹ́ 2021.
Tani Olaf Scholz ni ilu Germani?,Alakoso ilẹ germani.
Ipo wo ni Toluse Olorunnipa dimu ni CNN?,Ánálíisíìtì.
Kinni itumọ orukọ juu (jewish name) ti a mọ si Zebedee?,Yawe tabi oluwa ti fun ni.
Ipinlẹ wo ni Odumegwu-Ojukwu ti kọkọ bẹrẹ iṣẹ ijọba ?,Ilẹ enugu.
Se egbe oselu wa ni ilu Germani?,Bẹẹni.
Ni ọdun wo ni orilẹ ede Ghana gba ominira lati ọdọ awọn Britaini ?,1957.
Ni odun wo ni a bi Liu Gang?,Ọdun 1961.
Awọn ilu wo ni o yi ipinlẹ Bayelsa ka?,Ipinlẹ rivers l'apa ila oorun ati ipinle delta l'apa iwọ oorun.
Kini ede osise ni orilẹ ede Tunisia ?,Larubawa ti awọn ara tunisia ma n sọ.
Ọdun wo ni wọn da ile ekọ Yunifasiti Nsukka silẹ ?,1955.
Ilu wo ni orilẹ-ede Naijiria ni wọn ti n sọ ede Nupe julọ?,Bida.
Ibo ni wọn sin Robert Adam si?,Apa guusu ti westminster abbey.
Ibo ni Yinka Odumakin ti pade Iyawo rẹ?,Alágbọn.
Ikọ agbabọọlu wo lo gba ipo akọkọ ni UEFA Champions league ti 2020?,Bayern munich.
Ọmọ ẹgbẹ oselu wo ni Onyeka Onwenu?,People's democratic party.
Ọdun wo ni Deborah Oluwaseyi Joshua gbe awo orin rẹ akọkọ jade?,Ọdun 2015.
ṣe  orílẹ̀-èdè sìmbábúè wa lẹgbe orílẹ̀-èdè Rwanda?,No.
Ta ni o pin orilẹ ede Naijiria si ipinlẹ mejila ?,General yakubu gowon.
Ijoba Algeria ati awọn wo ni wọn ja ogun abele?,Ẹgbẹ́ jàǹdùkú ẹlẹ́sì ìsìláàmù.
Nibo ni wọn maa n ṣe Met Gala?,Metropolitan museum of art's costume institute nilu new york.
Tani o ba MKO Abiola dupo Aarẹorilẹ-ede Naijiria ni ọdun 1993?,Bashir tofa.
Ta ni arẹ akọkọ orilẹ ede Kenya?,Jomo kenyatta.
Ipinlẹ wo l'orilẹ-ede Naijiria ni Kainji dam wa?,Ipinlẹ niger.
Orilẹ-ede melo ni ọmọ ẹgbẹ UNESCO?,193.
Iru orin wo ni Baba Sala nko?,Highlife.
Ta ni o tumọ bibeli si ede Yoruba ?,Samuel ajayi crowther.
Kini olu ilu Uganda?,Kampala.
Ipinle melo lo yii ipinle Kogi ka?,Mẹ́wàá.
ilu wo ni Ralph Waite ti wa?,New york.
Tani iyawo Gabriel Igbinedion?,Arábìnrin cherry igbinedion.
Ọdun wo ni a bi Billy Ocean?,Ọdun 1950.
Orile ede wo ni aisan Covid 19 ti kọkọ ṣẹlẹ  ?,China.
Odun wo ni a bi Victor Samuel Leonard Malu?,Ọdun 1947.
Ijọba tani o si Nyakuron Cultural Centre?,Abel alier.
ọdun wo ni Daniel Bernoulli gbe ipilẹ-oye ti wọn pe ni Bernoulli Principle kalẹ?,1738.
Ikọ agbabọlu wo ni Xavi kọkọ ba ṣiṣẹ gẹgẹ bi akọnimọgba?,Al sadd.
kilorukọ oluilu orilẹ-ede Sweden?,Stockholm.
ṣe Wahab Dosunmu ti jẹ aarẹ orile ede naijiria tẹlẹ ri?,No.
Awọn ara bo ni o maa n jẹ Banku ?,Ghana.
Eeyan meloo ni o n gbe ilu Kansas?,"2,940,865 ni ibamu pẹlu ikaniyan ti ọdun 2020."
idije melo ni Usain Bolt ti gba ami ẹyẹ to dara julo?,Mẹjọ.
N jẹ Baltimore jẹ olu ilu ipinlẹ Maryland?,Rara.
kilorukọ kòkòrò to wa ninu ewa?,Kokoro ẹwa (weevil).
kilorukọ iyawo akọọkọ ti Muhammadu Buhari fẹ?,Safinatu buhari.
Igba melo ni ẹgbẹ agbaboolu Liverpool Ti gba ife eye UEFA champions League?,Ẹ̀mẹẹ̀fà.
Se ale ri Aso rock ni ipinle Plateau?,No.
Kọntinẹeti wo ni orilẹ ede Jẹ́mánì wa?,Europe (yuroopu).
Nibo ni ọwọ awọn agbofinro tẹ Hushpuppi ni alẹ ọjọ ti wọn gbe?,Palazzo versace.
"Talo kọ ere to ni akori ""Eclipsed""?",Danai gurira.
Ipinlẹ meloo lo wa ni orilẹ-ede Benin-Republic?,Ẹka ile iṣẹ mejila.
Ipinlẹ wo lo ni eyan to pọjulọ ni India?,Uttar prades.
ṣe Steven Chu ti gba ẹbun Nobel ninu Litiresọ tẹlẹ ri?,No.
Lati ọdun wo ni orilẹ ede Australia ti wa?,Ọjọ kẹrindinlọgọta osu kinni ọdun 1788.
Ta ni ọba akọkọ ati eyi ti o jẹ gbẹyin ni orile ede Haiti ?,Henri christophe.
ṣe eka eeyan to wa ni ilu eko ju ti Kano lo ni ọdun 2005?,No.
Ilu wo ni wọn  ti kọkọ ri epo robi ni ẹkun guusu Naijiria ?,Oloibiri.
Igba wo ni Asisat Oshoala darapọ mọ ikọ Barcelona?,31 ṣẹẹrẹ 2019.
Eniyan melo ni wọn ti fi ami ẹyẹ Nobel Laureate da lọla ni orilẹ ede Naijiria?,Ikinni.
Igba melo ni Nwankwo Kanu gba ami ẹyẹ agbabọọlu to tayo julọ nilẹ Afirika?,Méjì.
Ta lo jẹ Popu ijọ Katoliki ni odun 2010?,Pope benedict xvi.
Igba melo ni wọn yọ Trump nipo aare orilẹ-ede Amerika?,Ìkejì.
Ile iwe alakọọbẹrẹ wo ni John Forbes Kerry lọ?,Ile-iwe fessenden.
ṣe ile Barbados ti yan gomina obinrin tele ri?,Yes.
Njẹ lootọ ni wọn yọ awọn iwe kan kuro ninu Bibeli?,Bẹẹni.
Ta ni baba Alàgbà Francis Akanu Ibiam?,Ijoye ibiam.
Isẹ wo ni Kẹmi Adetiba ko ni ile-iwe ẹkọ giga?,Ẹ̀kọ́ ìmẹ̀rọ ajẹmọ́-iṣẹ́-iná.
Ọdun wo ni Norma Shearer gba Ebun Akademi Obinrin Osere Todarajulo?,Ọdun 1930.
olóṣèlú wo lo bori idibo aarẹ ni orilẹ-ede south africa laipẹ?,Cyril ramaphosa.
Igba melo ni Anthony joshua ti gba bẹliti ẹyẹ heavy weight champion?,Méjì.
Ọdun wo ni Odunlade Adekola ṣe igbeyawo?,Ọdun 2003.
Eto wo ni Patrick Yakowa ti n pada nigbati baalu rẹ ja?,Òkú bàba oronto douglas.
Ọdun wo ni a bi Ram Narayan,Ọdun 1927.
Igba melo ni C. Ronaldo ti gba ife ẹyẹ Baloon d'or?,Márùn-ún.
Orilẹ-ede wo ni wọn bi Charles Darwin si?,Shropshire.
Odun wo ni a bi George Fitzgerald Smoot III?,Ọdun 1945.
Kinni orukọ ẹni to ṣekupa Archbishop Franz Ferdinand nigba ti ogun agabaye ikinni kọkọ bẹẹrẹ?,Gavrilo princip.
Inu ẹka imọ wo ni ọmọwe Goodluck Jonathan ti gba oye imọ ijinle PhD re?,Ìmọ̀ ẹ̀kọ́ nípa ẹranko.
N jẹ iwe 'Oliver Twist' ni akọkọ ti Charles Darwin gbe jade?,Rara.
Orin gospel Naijira wo ni awọn eniyan wo ju ni ori atẹ youtube in 2021?,Osinachi kalu okoro egbu.
Iye ifẹsẹwọnsẹ melo ni Xavi gba fun ẹgbẹ agbabọlu Barcelona?,767.
Ki ni ẹgbẹ oṣelu akọkọ ni orilẹ ede Naijiria?,Nigerian national democratic party.
N'ibo ni tubu to tobi julo ni gbogbo agbaye?,Rikers island.
Ẹgbe wo ni Macky Sall lo lati di Aare Senegal?,Alliance for the republic.
Iru orin wo ni Rex Jim Lawson kọ ni gbati o wa laye ?,Orin hailifi ti orilẹ-ede naijiaria.
Orilẹ-ede melo ni o jẹ ọmọ ẹgbẹ ajọ isokan awọn orilẹ-ede?,193.
Elo ni fiimu King of Boys pa lapapo lati Sinima?,₦ 245 mílíọ́ọ̀nù.
ṣe ile ise ayelujara Google wa laaye ni 1999?,Yes.
kiloruko Obinrin akọọkọ ti Ọlọrun da?,Efa.
Ọdun wo ni George W. Bush ṣe igbeyawo pẹlu Laura Bush?,Ọdun 1977.
ṣe Chicago lati bi aare tẹlẹ ri Donald Trump?,No.
Elo ni Femi Otedola gbefun Farouq Lawan ki wọn bale yọ orukọ ile-ise kuro ninu awọn to ru ofin iranwo owo ori epo?,Mílíọ́nù $3.
Ilu wo ni ilẹ Gẹẹsi ni Dame Helen Lydia Mirren ti ṣẹ wa?,London (lọndọnu).
"Ọdun wo ni a bi Dwayne Michael Carter, Jr?",Ọdun 1982.
Ẹgbẹ oṣelu ni o ṣe ijọba ni Sierria Leone ni ọdun 2020 ?,Sierra leone people party.
Kini iye ibo to wa larin Muhammadu Buhari  ati Goodluck Jonathan ni orilẹ-ede Naijira ni ọdun 2015?,Ju mílíọ́ọ̀nù 2.5 lọ.
Ibasepo wo lo wa larin Shehu Musa Yar'Adua ati Umaru Yar'Adua?,Bàbá.
Igba wo ni GoPro ra CineForm?,"Ẹrẹ́nà 30, 2011."
Njẹ republiki San Marino wa ni Europe ?,Bẹẹni.
Ẹgbẹ oṣelu wo lo ni ibo to pọju ninu ibo Aarẹ orilẹ-ede America ti ọdun 2020 ni Oklahoma City?,Republican party.
Orilẹ-ede wo ni oke Kilimanjaro wa?,Tanzania.
Ni igba wo ni irufẹ orin ti a mọ si Jazz bẹrẹ ni agbaye?,Ọrundun kọkandinlogun ati ibẹrẹ ọrundun ogun.
Ile ẹkọ giga wo ni o ṣe awari HPV Vaccine ?,Yunifasiti ti queensland ni australia.
yunifasiti wo ni Dudley R. Herschbach ti jade?,Fasiti stanford.
Ni ọdun wo ni Wọle ṣoyinka ti gba ẹbun nobel ?,1986.
"Ọjọ wo ni oniṣowo Amẹrika, John Hopkins, jade laye?",Ọjọ kẹrinlelogun oṣu kejila ọdun 1873.
Awọ (color) meloo lo wa ni filagii ti Biafra?,Awọ mẹta.
Ta lo jẹ minisita fun epo l'orilẹ-ede Naijiria l'ọdun 2017?,Muhammadu buhari.
Asiko wo ni Mike Bamiloye da ileesẹ Mount Zion Ministries sile?,5 ògún 1985.
ọdun wo labi Steven Chu?,St. louis.
Igba wo ni Ade Love darapo mo ẹgbẹ elere ti Baba Sala?,1976.
Ọdun wo ni wọn da Soviet Union silẹ,1922.
Ẹran wo lotobijulọ ni gbogbo agbaye ?,Erinmi buluu.
Kini idi ti Pope Benedict XVI fi kọ iwe fi ipo rẹ silẹ?,Ọjọ́ ogbó.
ṣe orilẹ ede Swaziland fi egbe ti orilẹ ede South Áfríkà,Yes.
"Ẹgbẹ oselu wo ni Gomina tẹlẹ, Olúṣẹ́gun Ọ̀ṣọbà, wa nigba to jẹ gomina ipinlẹ Ogun?",Ẹgbẹ alliance for democracy party (ad).
Ta lo da ṣọọṣi Johovah's witness silẹ?,Charles taze russell.
Iru orin wo ni olorin Salawa Abeni ma n kọ ?,Waka.
Apa ibo ni orilẹ ede Somalia wa ni ori mapu ilẹ Afrika?,Iwo ilẹ afrika.
ṣe Furansi kopa ninu ife bọọlu alafesegba lagbaye ni 2018,Yes.
Ki ni olu ilu orilẹ ede India?,New delhi.
ṣe oṣu march ni aara tẹlẹ ri Barack Obama kooko bori idibo aare ni ilu Amerika?,No.
Ipo wo ni Adebayo Alao-Akala wa nigbati o feyinti nibi ise ọlọpa?,Igbákejì kọmíṣọ́nà ọlọ́pàá.
Ọdun melo ni iyawo Emmanuel Macron fi ju lọ?,Ọdún 25.
Ọdun wo ni Stephen Cole Kleene fi aye silẹ?,1994.
Kọntinẹẹti wo ni Vietnam wa?,Asia (eṣia).
tani obìnrin akọọkọ to wa ọkọ ofurufu ni orilede Naijiria?,Chinyere kalu.
Igba wo ni wọn da ajọ isọkan awọn orilẹ-ede  silẹ?,24-oct-45.
tani Gomina ipinle California lowolowo?,Gavin newsom.
Irufe awọn iwe wo ni Gwendolyn Elizabeth Brooks ti kọ?,Awọn ayẹyẹ ti ara ẹni ati awọn igbiyanju ti awọn eniyan ni agbegbe rẹ.
Ta ni o kọkọ bẹrẹ gbigbẹ koko ni orile ede Ghana ?,Tetteh quarshie.
Njẹ Scharnhorst jẹ ọkọ oju omi ti wọn fii n jagun ?,Bẹẹni.
Igba melo ni wọn ti Joe Okei-Odumakin mole ni asiko ijoba Babangida?,17.
Ilu wo ni oye dẹmokirasi ti bẹrẹ ni agbaye?,Greece (griisi).
Tani oludasilẹ Radio Baifra?,Mazi nnamdi kanu.
Orile-ede wo ni o bori Colombia ni 1525 ?,Awọn ara spain.
talo gba alawada to daraju lo ni Afrika ni odun 2005?,Christopher julius rock.
Igba wo ni Aare Muammar Gaddafi ku?,20 ọ̀wàwà 2011.
N jẹ orilẹ-ede Moroko jẹ ilu Musuliu?,Bẹẹni.
ṣe ọmọ ilu Naijiria ni Odion Ighalo?,Yes.
Tani obinrin akọkọ ni ilẹ Afirika ti o gba ẹbun nobel alaafia ?,Wangarĩ muta maatha.
ki lorukọ oníìdájọ́ agba ni ilu amẹrika?,John roberts.
Ni bo ni ile itaja ti otobi ju lagbaye wa?,"China, thailandi ati ilẹ philippini."
Ọdun wo ni a da ilu Sokoto silẹ?,Ọdun 1976.
Kinni orukọ ti sayẹnsi fun ibi ara ti wọn pe Adam's Apple l'ede gẹẹsi?,Prominentia laryngea.
Njẹ awọn ara Angola maa n sọ ede Oshiwambo ?,Bẹẹni.
Ta l'ẹni to da ile iṣẹ McVities silẹ?,United biscuits.
wakati melo lowa ninu ọjọ?,24.
ki lorukọ tuntun ti ilé-iṣẹ́ Facebook njẹ nisi?,Meta.
Nibo ni ile iṣẹ Yoruba Academy wa?,"Ibadan, oyo state, nigeria."
Ibo melo lo gbe Aarẹ Muhammadu Buhari wole gege bi Aarẹ orilẹ-ede Naijira ni ọdun 2015?,Ji ìbo mílíọ́ọ̀nù 2.5 lọ.
Alaga igbimọ wo ni Abike Dabiri jẹ nigbati o wa ni ile igbimọ asofin agba?,Àjọ tó ń mójú tó ìròyìn & ìkéde.
Agbebe ijọba wo ni LUTH wa ni ipinlẹ eko ?,Surulere.
Ọmọ meloo ni Stella Damascus bi?,Meji.
Ere wo lo jẹ akọkọ ti Tunde Kelani gbe jade?,The dilema of rev. father michael. (idaamu paadi minkailu).
ọdun wo ni ile ise Instagram bẹẹrẹ iṣe?,2010.
Orilẹ-ede wo lo gba ami ẹyẹ to poju lo ni ibi ere idaraya Olympic ọdun 2020?,United states.
kiloruko aare orilẹ ede Tunisia?,Kais saied.
Ta ni olori orilẹ ede Naijiria lẹhin iku Abacha ?,Abdulsalami abubakar.
Apa wo n'ilẹ Adulawo ni orilẹ-ede South Sudan wa?,Ila-oorun afirika.
Ki ni ohun eto ọrọ aje wọn ni ipinlẹ Imo?,Epo pupa.
Ilu wo ni ori oke Meru wa ni orile ede Tanzania ?,Arusha.
"Kini odinwọn giga Afeez Oladimeji, okunrin ti o ga ju ni Naijiria?",7feets 4 inches.
Àwọn agbegbe wo ni a ti n sọ ede Yoruba?,Ni guusu iwọ oorun naijiria ju lọ.
Kini apapọ iye awọn olugbe ipinlẹ Ọyọ?,"7,840,864."
Kini ipo ti dimu Hamza al-Mustapha ninu ijoba ologun ti Sani Abacha?,Olórí àwọn ẹ̀ṣọ́.
Ki l'orukọ aja bulu (bull dog) to wa ninu ere 'Tom and Jerry'?,Spike.
Ọdun wo ni wọn da Yunifasiti ti ipinlẹ Imo l'orilẹ-ede Naijiria silẹ?,Ọdun 1981.
Orile-ede wo ni wọn kọ mọṣalaṣi Djinguereber si ?,Mali.
"ṣe Yunifasiti Princeton jẹ Yunifasiti akọkọ ni New Jersey, l'orilẹ-ede Amẹrika?",Rara.
Ọjọ wo ni orilẹ-ede South Africa bẹrẹ si ni fun awọn eyan ni abẹrẹ ajẹ sara ti Covid-19?,17 èrèlé 2021.
Ile-ise wo ni Dora Akinyili wa ki wọn to yan gẹgẹ bi oga agba NAFDAC?,Akọ̀wé ìgbèríko ti àkànṣẹ́ owó epo rọ̀bì.
Ipinlẹ melooo ni o wa ni orile ede Algeria?,58.
ṣe ale ri orilẹ ede Paraguay ni South Amerika?,Yes.
ọdun wo ni eré Muvhango jade?,1997.
Iwe melo ni Thomas Carlyle ti kọ?,Oogun.
Iku wo lo pa Adolph Hitler ?,Suicide.
Ta ni onitọhun ti o sọ Naijiria ni orukọ ti o n jẹ ?,Flora louise shaw.
Ni ọdun wo ni a bi Bassey Henshaw?,Ọdun 1943.
Ilu meloo lo wa ni orilẹ ede Fransi,Mejidilogun.
Nigba wo lọ da egbe agbabọọlu Real Madrid silẹ?,6 èrèlé 1902.
Orile ede wo ni ere golfu ti bẹrẹ ?,Scotland.
ki ni awọn ẹya tobi ju ni naijiria?,Mẹta.
Tani Minisita fun ẹkọ l'orilẹ-ede China l'ọdun 2021?,Ma xulun.
Tani oludasile Okada air?,Olóyè gabriel igbinedion.
Ọjọ wo ni Frank Lampard darapo mo ẹgbẹ agbabọlu Everton gẹgẹ bi akonimọgba?,13 ṣẹẹrẹ 2022.
Ta ni o da ile ounjẹ  McDonalds silẹ ni ọdun 1994 ?,Richard ati maurice mcdonald.
Orukọ wo ni ilẹ Trinidad jẹ tẹlẹ?,Cairi.
Ni ọdun wo ni Festus Keyamo di agbẹjọro labẹ ofin?,Ọdun 1993.
Ọmọ ọdun wo ni Lionel Messi nigbati o darapọ mọ ẹgbẹ agbabọọlu Barcelona?,Mẹtala.
Kini oruko owo orilẹ ede Kenya?,Shile.
Ilu wo ni wọn bi Adolf Hitler si?,Braunau am inn.
Ta ni alakoso akọkọ ile ekọ giga Yunifasiti of Lagos ?,Eni njoku.
Ọmo odun melo ni Genevieve Nnaji  nigbati o bẹrẹ isẹ gẹgẹ bi Osere?,8.
