instruction_en,instruction_yo,input_en,input_yo,output_en,output_yo,category,source
"Analyze the sentiment of the following movie review: Eré ṣíṣe tó fakọyọ, ìdarí tó fi òye hàn ṣùgbọ́n ìtàn yìí kò fi bẹ́ẹ̀ wúni lórí. 
Mo ní láti sí a sì àkáǹtì kí n lè ṣe àgbéyẹ̀wô eré yìí. Iṣẹ́ yìí rẹwà púpọ̀. 
. Categorize the review as either positive or negative.","Analyze the sentiment of the following movie review: Eré iṣẹ tó fakọyọ, ìdarí tó fi òye hàn hàn ìtàn yìí kò fi bẹ́ẹ̀ wúni lórí.
Mo ní láti sí a sì àkáǹtì kí n lè ṣe àgbéyẹ̀wô eré yìí. Iṣẹ́ iṣẹ́ rẹwà.
. Sọtọ awotẹlẹ bi boya rere tabi odi.","Eré ṣíṣe tó fakọyọ, ìdarí tó fi òye hàn ṣùgbọ́n ìtàn yìí kò fi bẹ́ẹ̀ wúni lórí. 
Mo ní láti sí a sì àkáǹtì kí n lè ṣe àgbéyẹ̀wô eré yìí. Iṣẹ́ yìí rẹwà púpọ̀. 
","Eré tó fakọ̀yọ, ìdarí tó fi òye hàn hàn pé ìtàn yìí kò fi bẹ́ẹ̀ wúni lórí.
Mo ní láti sí a sì àkáǹtì kí n lè ṣe àgbéyẹ̀wô eré yìí. Iṣẹ́ iṣẹ́ rẹwà.
",The sentiment of the movie review is positive.,Imọran ti atunyẹwo fiimu jẹ rere.,classification,yosm.csv
"Given the movie review below: Eré gidi tí màá fẹ́ láti rí ìtẹ̀síwájú rẹ̀ ni eré yìí jẹ́. , determine if the overall sentiment of the analysis positive aligns as positive or negative.","Given the movie review below: Eré gidi tí màá fẹ́ láti rí ìtẹ̀ṣíwájú rẹ̀ ni eré yìí jẹ́. , pinnu ti o ba ti awọn ìwò itara ti awọn onínọmbà rere aligns bi rere tabi odi.",Eré gidi tí màá fẹ́ láti rí ìtẹ̀síwájú rẹ̀ ni eré yìí jẹ́. ,Eré gidi tí màá fẹ́ láti rí ìṣíwájú rẹ̀ ni eré yìí jẹ́.,The sentiment analysis result is positive.,Abajade onínọmbà itara jẹ rere.,classification,yosm.csv
"Analyze the provided Òwe àgbà ní """"""""""""""""ọmọlọ́mọ là á rán níṣẹ́ à á dé lóru"""""""""""""""", ẹ wí fún wọ́n pé kí wọ́n ó rán'mọ wọn. Wọ́n kì í múyan síi. #DGtrends and determine whether it expresses a positive or negative sentiment. Your classification should be clearly justified based on the content of the tweet.","Analyze the provided Òwe àgbà ní """""""""""" ọmọlọ́mọ là á rán níṣẹ́ à á dé lóru"""""""""""", ẹ wí fún wọ́n pé kí wọ́n ó rán'mọ wọn. Wọ́n kí í múyan síi. #DGtrends ati pinnu boya o ṣalaye rere tabi itara odi. Iyasọtọ rẹ yẹ ki o jẹ idalare kedere da lori akoonu ti tweet.","Tweet: Òwe àgbà ní """"""""""""""""ọmọlọ́mọ là á rán níṣẹ́ à á dé lóru"""""""""""""""", ẹ wí fún wọ́n pé kí wọ́n ó rán'mọ wọn. Wọ́n kì í múyan síi. #DGtrends","Tweet: Òwe àgbà ní """""""""""" ọmọlọ́mọ là á rán níṣẹ́ à á dé lóru"""""""""", ẹ wí fún wọ́n pé kí wọ́n ó rán'mọ wọn. Wọ́n kí í múyan síi. #DGtrends",Sentiment: Positive/Negative. Justification: negative.,Oro: Rere/Odi. Idalare: odi.,classification,afrisenti.csv
"Based on the RT @user: @user asa kasa ti awon eyan ko ni odo awon oyinbo tiko mu ogbon wa, koda rara,atipe ounse okunfa alebu ati arun, identify if the sentiment expressed is either positive or negative, and provide the primary reason that leads to your classification.","Based on the RT @user: @user asa kasa ti awon eniyan ko ni odo awon oyinbo tiko mu ogbon wa, koda rara,atipe ounse ise alebu ati arun,ident if the sentiment express is either positive or negative, and provide the primary reason ti o nyorisi si rẹ classification.","Tweet: RT @user: @user asa kasa ti awon eyan ko ni odo awon oyinbo tiko mu ogbon wa, koda rara,atipe ounse okunfa alebu ati arun","Tweet: RT @user: @user asa kasa ti awon eyan ko ni odo awon oyinbo tiko mu ogbon wa, koda rara,atipe ounse fun alebu ati arun.",Classification: Positive/Negative. Reason: negative.,Ìsọri: Rere/Odi. Idi: odi.,classification,afrisenti.csv
"Analyze the given text snippet and classify it according to its emotional tone. Choose from the following categories: Positive, Negative, Neutral. Provide a brief explanation for your choice.","Ṣe itupalẹ snippet ọrọ ti a fun ki o ṣe lẹtọ rẹ ni ibamu si ohun orin ẹdun rẹ. Yan lati inu awọn ẹka wọnyi: Rere, Odi, Aidaduro. Pese alaye kukuru fun yiyan rẹ.","I'm feeling so overwhelmed lately, everything just seems too much to handle.","Mo n rilara pupọju laipẹ, ohun gbogbo dabi pe o pọ ju lati mu.","Negative. The text expresses feelings of being overwhelmed and implies a sense of inability to cope with the current situation, which aligns with a negative emotional tone.","Odi. Ọrọ naa ṣalaye awọn ikunsinu ti irẹwẹsi ati tumọ si ori ti ailagbara lati koju ipo lọwọlọwọ, eyiti o ṣe deede pẹlu ohun orin ẹdun odi.",classification,self-instruct
"Analyze the provided product review and extract information regarding the customer’s sentiment towards the product, highlighting any specific features or aspects they liked or disliked. Provide a structured summary of your findings, including overall sentiment, liked features, and disliked features.","Ṣe itupalẹ atunyẹwo ọja ti a pese ati jade alaye nipa itara ti alabara si ọja naa, ṣe afihan eyikeyi awọn ẹya kan pato tabi awọn aaye ti wọn fẹran tabi ti ko nifẹ. Pese akopọ ti eleto ti awọn awari rẹ, pẹlu itara gbogbogbo, awọn ẹya ti o nifẹ, ati awọn ẹya ti o korira.","I recently purchased the new TechMaster 3000 laptop, and it's been a mixed bag so far. On the plus side, the battery life has exceeded my expectations, lasting nearly 12 hours on a charge. The display is vivid and crisp, making my movie-watching experience absolutely delightful. However, not everything is rosy. The keyboard feels a bit cramped and uncomfortable for long typing sessions, and the laptop tends to get unusually warm with extended use. I also find the lack of USB-C ports to be a major oversight for a modern device.","Laipẹ Mo ti ra kọǹpútà alágbèéká tuntun TechMaster 3000, ati pe o ti jẹ apo adalu titi di isisiyi. Ni ẹgbẹ afikun, igbesi aye batiri ti kọja awọn ireti mi, ti o fẹrẹ to wakati 12 lori idiyele kan. Ifihan naa han gbangba ati agaran, ti o jẹ ki iriri wiwo fiimu mi dun gaan. Sibẹsibẹ, kii ṣe ohun gbogbo jẹ rosy. Awọn bọtini itẹwe kan rilara diẹ ati korọrun fun awọn akoko titẹ gigun, ati kọǹpútà alágbèéká duro lati ni igbona ailẹgbẹ pẹlu lilo gbooro. Mo tun rii aini awọn ebute USB-C lati jẹ abojuto pataki fun ẹrọ ode oni.","Overall Sentiment: Mixed
Liked Features:
- Battery Life: Lasts nearly 12 hours on a charge, exceeding expectations.
- Display: Vivid and crisp, enhancing the movie-watching experience.
Disliked Features:
- Keyboard: Feels cramped and uncomfortable for long typing sessions.
- Heat: The laptop gets unusually warm with extended use.
- Lack of USB-C Ports: A major oversight for a modern device.","Ìwò itara: Adalu
Awọn ẹya ti o nifẹ:
- Igbesi aye batiri: O fẹrẹ to awọn wakati 12 lori idiyele, awọn ireti ti o kọja.
- Ifihan: Vivid ati agaran, imudara iriri wiwo fiimu.
Awọn ẹya ti a ko nifẹ:
- Keyboard: Rilara cramped ati korọrun fun awọn akoko titẹ gigun.
- Ooru: Kọǹpútà alágbèéká n gbona lainidi pẹlu lilo ti o gbooro sii.
Aini Awọn ibudo USB-C: Abojuto pataki fun ẹrọ igbalode.",extraction,self-instruct
"Generate a 300-word short story that encompasses the themes of hope and adventure. Begin the story with a character finding an old, mysterious map in their grandmother's attic.","Ṣe agbekalẹ itan kukuru-300 kan ti o ni awọn akori ti ireti ati ìrìn. Bẹrẹ itan naa pẹlu iwa wiwa atijọ, maapu aramada ni oke aja iya-nla wọn.",,,"Elena stumbled upon a dusty, ancient map hidden beneath stacks of forgotten photographs and journals in her grandmother's attic. The map, inscribed with trails and symbols she couldn't decipher, seemed to call out to her adventurous spirit. Ignoring the whistles of the wind and the creaks of the old house, she decided to follow where it led. Her journey was filled with challenges, from navigating treacherous forests to crossing raging rivers. Along the way, she encountered diverse characters, some who helped her and others who tested her resolve. Each obstacle she overcame filled her with hope, pushing her to pursue the treasure the map promised. As she neared the location marked with an 'X', she realized the true treasure was not the pot of gold but the journey itself, the experiences gained and the realization that hope can ignite the greatest adventures. This story not only entertained but also imparted a valuable lesson about the importance of hope and embracing the unknown.","Elena kọsẹ lori eruku, maapu atijọ ti o farapamọ nisalẹ awọn akopọ ti awọn fọto igbagbe ati awọn iwe iroyin ni oke aja iya-nla rẹ. Maapu naa, ti a kọ pẹlu awọn itọpa ati awọn aami ti ko le ṣe alaye, dabi ẹni pe o pe si ẹmi alarinrin rẹ. Ni aibikita awọn whistles ti afẹfẹ ati awọn creaks ti atijọ ile, o pinnu lati tẹle ibi ti o mu. Ìrìn àjò rẹ̀ kún fún àwọn ìpèníjà, láti lílọ kiri àwọn igbó tí ń ṣe àdàkàdekè dé lílọ sọdá àwọn odò tí ń ru gùdù. Ní ọ̀nà náà, ó pàdé oríṣiríṣi èèyàn, àwọn kan lára ​​wọn tó ràn án lọ́wọ́ àtàwọn míì tí wọ́n dán ìpinnu rẹ̀ wò. Ohun ìdènà kọ̀ọ̀kan tí ó borí mú kí ó ní ìrètí, ní títì í láti lépa ìṣúra tí àwòrán ilẹ̀ náà ṣèlérí. Bi o ti sunmọ ibi ti a samisi pẹlu 'X' kan, o rii pe iṣura otitọ kii ṣe ikoko goolu ṣugbọn irin-ajo funrararẹ, awọn iriri ti o gba ati riri pe ireti le tan ina awọn iṣẹlẹ nla julọ. Itan yii kii ṣe ere idaraya nikan ṣugbọn o tun funni ni ẹkọ ti o niyelori nipa pataki ti ireti ati gbigba ohun aimọ.",generation,self-instruct
"Compose a memo on the impact of climate change on agricultural productivity, including data from recent studies.","Ṣe akọsilẹ kan lori ipa ti iyipada oju-ọjọ lori iṣelọpọ iṣẹ-ogbin, pẹlu data lati awọn iwadii aipẹ.","To: All Department Members
From: Environmental Research Department
Subject: Impact of Climate Change on Agricultural Productivity","Si: Gbogbo Awọn ọmọ ẹgbẹ Ẹka
Lati: Ẹka Iwadi Ayika
Koko-ọrọ: Ipa ti Iyipada Oju-ọjọ lori Iṣelọpọ Iṣẹ-ogbin","To: All Department Members
From: Environmental Research Department
Subject: Impact of Climate Change on Agricultural Productivity

Recent studies have shown a significant impact of climate change on agricultural productivity. A comprehensive analysis by the National Agricultural Research Institute revealed a 10% reduction in crop yields over the past decade, attributed to increased temperatures and erratic weather patterns. Another study highlights the vulnerability of specific crops, such as wheat and maize, to temperature variations, forecasting a possible 15% decline in production by 2030 without adaptive measures. These changes pose a major threat to food security and require urgent attention. Strategies for mitigation include the development of resistant crop varieties, improved water management practices, and the adoption of more sustainable farming techniques. Empowering local communities with the knowledge and resources to adapt is also crucial. Understanding these impacts and preparing accordingly is essential for safeguarding our food supply chain.","Si: Gbogbo Awọn ọmọ ẹgbẹ Ẹka
Lati: Ẹka Iwadi Ayika
Koko-ọrọ: Ipa ti Iyipada Oju-ọjọ lori Iṣelọpọ Iṣẹ-ogbin

Awọn ijinlẹ aipẹ ti fihan ipa pataki ti iyipada oju-ọjọ lori iṣelọpọ iṣẹ-ogbin. Atupalẹ okeerẹ nipasẹ Ile-iṣẹ Iwadi Agbin ti Orilẹ-ede ṣe afihan idinku 10% idinku ninu awọn eso irugbin ni ọdun mẹwa sẹhin, ti a da si awọn iwọn otutu ti o pọ si ati awọn ilana oju-ọjọ aifọwọyi. Iwadi miiran ṣe afihan ailagbara ti awọn irugbin kan pato, gẹgẹbi alikama ati agbado, si awọn iyatọ iwọn otutu, asọtẹlẹ ti o ṣeeṣe 15% idinku ninu iṣelọpọ nipasẹ ọdun 2030 laisi awọn iwọn adaṣe. Awọn iyipada wọnyi jẹ ewu nla si aabo ounje ati pe o nilo akiyesi ni kiakia. Awọn ilana fun idinku pẹlu idagbasoke awọn orisirisi irugbin na ti o ni sooro, ilọsiwaju awọn ilana iṣakoso omi, ati gbigba awọn ilana ogbin alagbero diẹ sii. Fi agbara mu awọn agbegbe agbegbe pẹlu imọ ati awọn orisun lati ṣe deede tun jẹ pataki. Loye awọn ipa wọnyi ati murasilẹ ni ibamu jẹ pataki fun aabo pq ipese ounje wa.",generation,self-instruct
"Write an informative paragraph about the tradition of tea drinking in the UK, incorporating cultural and historical contexts.","Kọ paragirafi alaye kan nipa aṣa ti mimu tii ni UK, ti o ṣafikun aṣa ati awọn aaye itan.",,,"Tea drinking in the UK, a tradition deeply embedded in the national culture, has its roots in the 17th century, introduced by Catherine of Braganza, the Portuguese wife of King Charles II. This ritual quickly became a status symbol among the aristocracy, spreading throughout society over the centuries. The iconic British 'afternoon tea' emerged in the early 19th century, a social institution believed to have been pioneered by Anna, the Duchess of Bedford, who sought a light meal to curb her hunger between lunch and dinner. Today, tea remains a cornerstone of British identity, symbolizing comfort, hospitality, and a sense of community. From the bustling tea saloons of the Victorian era to the serene tea moments in contemporary British homes, the act of tea drinking continues to hold a special place in the hearts of the British people, reflecting centuries of history, social evolution, and cultural significance.","Mimu tii ni UK, aṣa atọwọdọwọ ti o jinlẹ ni aṣa ti orilẹ-ede, ni awọn gbongbo rẹ ni ọrundun 17th, ti Catherine ti Braganza gbekalẹ, iyawo Portuguese ti Ọba Charles II. Irubo yii yarayara di aami ipo laarin awọn aristocracy, ti ntan jakejado awujọ ni awọn ọgọrun ọdun. Aami tii 'tii ọsan' ni Ilu Gẹẹsi ti o farahan ni ibẹrẹ ọdun 19th, ile-iṣẹ awujọ kan gbagbọ pe Anna, Duchess ti Bedford ti ṣe aṣaaju rẹ, ẹniti o wa ounjẹ ina lati dena ebi rẹ laarin ounjẹ ọsan ati ale. Loni, tii jẹ okuta igun-ile ti idanimọ Ilu Gẹẹsi, ti n ṣe afihan itunu, alejò, ati ori ti agbegbe. Lati awọn saloons tii tii ti o gbamu ti akoko Fikitoria si awọn akoko tii serene ni awọn ile Gẹẹsi ti ode oni, iṣe mimu tii tẹsiwaju lati di aaye pataki kan ninu awọn ọkan ti awọn eniyan Ilu Gẹẹsi, ti n ṣe afihan awọn ọgọrun ọdun ti itan-akọọlẹ, itankalẹ awujọ, ati pataki aṣa.",generation,self-instruct
Imagine a scenario where artificial intelligence has become an integral part of daily life. Write a brief narrative exploring the societal changes and individual impacts resulting from this integration.,Fojuinu oju iṣẹlẹ kan nibiti itetisi atọwọda ti di apakan pataki ti igbesi aye ojoojumọ. Kọ alaye kukuru kan ti n ṣawari awọn iyipada awujọ ati awọn ipa kọọkan ti o waye lati inu iṣọpọ yii.,,,"In a future where artificial intelligence has seamlessly integrated into daily life, society has undergone profound transformations. AI assistants, now ubiquitous, manage schedules, provide entertainment, and even offer companionship, leading to increased efficiency but also raising concerns about privacy and dependency. Healthcare has seen remarkable advancements, with AI-powered diagnostics and treatment plans custom-tailored to individual genetic profiles, significantly reducing the burden of disease. However, the labor market has shifted dramatically, with automation displacing traditional jobs, necessitating a societal reevaluation of work's meaning and value. Education has adapted, focusing on cultivating creativity and emotional intelligence, skills less replicable by AI. While some fear the loss of human touch, others embrace the opportunities for growth and exploration. This new era, marked by the fusion of digital intelligence and human creativity, challenges us to redefine our relationship with technology, ensuring it serves to enhance, rather than diminish, the human experience.","Ni ọjọ iwaju nibiti oye atọwọda ti ṣepọ lainidi sinu igbesi aye ojoojumọ, awujọ ti ṣe awọn iyipada nla. Awọn oluranlọwọ AI, ni bayi nibi gbogbo, ṣakoso awọn iṣeto, pese ere idaraya, ati paapaa funni ni ajọṣepọ, ti o yori si ṣiṣe ti o pọ si ṣugbọn tun gbe awọn ifiyesi dide nipa aṣiri ati igbẹkẹle. Itọju ilera ti rii awọn ilọsiwaju iyalẹnu, pẹlu awọn iwadii aisan ti AI-agbara ati awọn ero itọju ti a ṣe deede si awọn profaili jiini kọọkan, dinku iwuwo ti arun ni pataki. Bibẹẹkọ, ọja iṣẹ ti yipada ni iyalẹnu, pẹlu adaṣe adaṣe nipo awọn iṣẹ ibile, ṣe pataki atunwo awujọ ti itumọ ati iye iṣẹ. Ẹkọ ti ni ibamu, ni idojukọ lori dida ẹda ati oye ẹdun, awọn ọgbọn ti ko ṣe atunṣe nipasẹ AI. Lakoko ti diẹ ninu bẹru isonu ti ifọwọkan eniyan, awọn miiran gba awọn anfani fun idagbasoke ati iṣawari. Akoko tuntun yii, ti a samisi nipasẹ idapọ ti oye oni-nọmba ati ẹda eniyan, laya wa lati tun ṣe ibatan ibatan wa pẹlu imọ-ẹrọ, ni idaniloju pe o ṣiṣẹ lati mu ilọsiwaju, dipo idinku, iriri eniyan.",generation,self-instruct
"Create a poem about the serene beauty of a mountain landscape at dawn, incorporating vivid imagery and sensory details.","Ṣẹda ewi kan nipa ẹwa aifẹ ti ala-ilẹ oke kan ni kutukutu owurọ, ṣafikun awọn aworan ti o han kedere ati awọn alaye ifarako.",,,"As dawn's light breaches the night's veil,
Mountain peaks, in silhouettes, unveil.
A soft hue of pink graces the sky,
Birds echo their morning cry.

Crisp air whispers through towering pines,
Carrying the scent of earth, so divine.
The sun, ascending, casts its golden glow,
Illuminating peaks with a radiant show.

Streams, like silver threads, weave through the land,
Their melodic flow by rocks gently spanned.
In this moment, time seems to pause,
Nature's majesty commands silent applause.

Here, amidst the tranquil mountain scene,
One finds peace, pure and serene.
A world untouched, wild, and free,
A testament to beauty's eternity.","Bí ìmọ́lẹ̀ òwúrọ̀ ti ń fọ ìbòjú òru,
Awọn oke giga oke, ni awọn ojiji biribiri, ṣii.
Awọ rirọ ti Pink ṣe ojurere ọrun,
Awọn ẹyẹ n sọ igbe owurọ wọn.

Afẹfẹ agaran nfọhùn nipasẹ awọn igi pine giga,
Gbigbe awọn lofinda ti aiye, ki Ibawi.
Oorun, ti n gòke, nmu didan goolu rẹ,
Awọn oke ti o nmọlẹ pẹlu ifihan didan.

Odò, bí òwú fàdákà, ń hun ilẹ̀;
Wọn aladun sisan nipa apata rọra na.
Ni akoko yii, akoko dabi pe o da duro,
Kabiyesi ti iseda paṣẹ ipalọlọ ipalọlọ.

Nibi, larin iwoye oke-nla,
Ẹnikan ri alafia, mimọ ati alaafia.
Aye ti a ko fowo kan, egan, ati ofe,
Majẹmu si ẹwa ayeraye.",generation,self-instruct
"Narrate a short story inspired by the image of a forgotten, overgrown path leading into the forest. What secrets might it hold?","Sọ itan kukuru kan ti o ni atilẹyin nipasẹ aworan ti igbagbe, ọna ti o dagba pupọ ti o lọ sinu igbo. Awọn aṣiri wo ni o le di?",,,"In the heart of the woods, there stood a path long forgotten, overgrown and shrouded in mystery. This path, kn...","Ni okan ti awọn igi, nibẹ duro a ona gun igbagbe, overgroud ati shrouded ni ohun ijinlẹ. Ọna yii, kn...",generation,self-instruct
"Compose a detailed market analysis report for the emerging electric vehicle (EV) sector in Europe, highlighting the current trends, key players, and future projections.","Ṣajọ ijabọ alaye ọja alaye fun eka ọkọ ayọkẹlẹ ina (EV) ti n yọ jade ni Yuroopu, ti n ṣe afihan awọn aṣa lọwọlọwọ, awọn oṣere pataki, ati awọn asọtẹlẹ ọjọ iwaju.",,,"The European electric vehicle (EV) market is currently experiencing significant growth, driven by increas...","Ọja ti nše ọkọ ina mọnamọna ti Ilu Yuroopu (EV) n ni iriri idagbasoke pataki lọwọlọwọ, ti a mu nipasẹ alekun…",generation,self-instruct
"Craft a poem about the changing seasons, focusing particularly on the transition from autumn to winter. Use vivid imagery and emotive language.","Ṣe ewi kan nipa awọn akoko iyipada, ni idojukọ pataki lori iyipada lati Igba Irẹdanu Ewe si igba otutu. Lo awọn aworan ti o han kedere ati ede ẹdun.",,,"When autumn's vibrant hues surrender to winter's chilling embrace,
Leaves concede their throne to snow's c...","Nigbati awọn awọ alarinrin Igba Irẹdanu Ewe fi ara rẹ silẹ fun imunidun igba otutu,
Awọn ewe gba itẹ wọn si yinyin yinyin…",generation,self-instruct
"Generate a comprehensive list of the most influential American poets of the 20th century, providing a brief overview of each poet's contributions to literature.","Ṣe agbekalẹ atokọ ti okeerẹ ti awọn ewi Amẹrika ti o ni ipa julọ ti ọrundun 20th, pese akopọ kukuru ti awọn ilowosi akewi kọọkan si litireso.",,,1. Robert Frost (1874-1963): Known for his exploration of rural life and his command of American colloquia...,1. Robert Frost (1874-1963): Ti a mọ fun iṣawari rẹ ti igbesi aye igberiko ati aṣẹ rẹ ti American colloquia ...,generation,self-instruct
"Create a short guide on how to efficiently organize a small home office for maximum productivity, including tips on furniture placement and decluttering methods.","Ṣẹda itọsọna kukuru lori bi o ṣe le ṣeto daradara ni ọfiisi ile kekere kan fun iṣelọpọ ti o pọju, pẹlu awọn imọran lori gbigbe aga ati awọn ọna idinku.",,,"Organizing a small home office efficiently can greatly enhance productivity. Start by selecting a quiet, a...","Ṣiṣeto ọfiisi ile kekere kan daradara le mu iṣelọpọ pọ si. Bẹrẹ nipa yiyan idakẹjẹ, kan...",generation,self-instruct
